№ DirsSet Sift DirNum Stack Error EndState
1 a,b,#,c -1 2 -1 1 -1
2 a,b,#,c -1 16 1 1 -1
3 b,#,c -1 18 1 1 -1
4 #,c -1 20 1 1 -1
5 # -1 0 -1 1 1
6 b,#,c -1 8 -1 -1 -1
7 a -1 9 -1 1 -1
8 b,#,c -1 0 -1 1 -1
9 a 1 10 -1 1 -1
10 b,#,c,a -1 6 -1 1 -1
11 #,c -1 13 -1 -1 -1
12 b -1 14 -1 1 -1
13 #,c -1 0 -1 1 -1
14 b 1 15 -1 1 -1
15 #,c,b -1 11 -1 1 -1
16 a,b,#,c -1 17 -1 1 -1
17 b,#,c,a -1 6 -1 1 -1
18 b,#,c -1 19 -1 1 -1
19 #,c,b -1 11 -1 1 -1
20 # -1 22 -1 -1 1
21 c -1 23 -1 1 -1
22 # -1 0 -1 1 1
23 c 1 24 -1 1 -1
24 #,c -1 20 -1 1 -1
