№ DirsSet Sift DirNum Stack Error EndState
1 type -1 2 -1 1 -1
2 type 1 3 -1 1 -1
3 a,b,c -1 15 1 1 -1
4 # -1 0 -1 1 1
5 # -1 7 -1 -1 1
6 ; -1 8 -1 1 -1
7 # -1 0 -1 1 1
8 ; 1 9 -1 1 -1
9 a,b,c -1 15 -1 1 -1
10 end -1 12 -1 -1 -1
11 ; -1 13 -1 1 -1
12 end -1 0 -1 1 -1
13 ; 1 14 -1 1 -1
14 a,b,c -1 20 -1 1 -1
15 a,b,c -1 16 -1 1 -1
16 a,b,c -1 25 1 1 -1
17 = 1 18 -1 1 -1
18 int,record -1 31 1 1 -1
19 #,; -1 5 -1 1 -1
20 a,b,c -1 21 -1 1 -1
21 a,b,c -1 25 1 1 -1
22 : 1 23 -1 1 -1
23 int,record -1 31 1 1 -1
24 end,; -1 10 -1 1 -1
25 a -1 28 -1 -1 -1
26 b -1 29 -1 -1 -1
27 c -1 30 -1 1 -1
28 a 1 0 -1 1 -1
29 b 1 0 -1 1 -1
30 c 1 0 -1 1 -1
31 int -1 33 -1 -1 -1
32 record -1 34 -1 1 -1
33 int 1 0 -1 1 -1
34 record 1 35 -1 1 -1
35 a,b,c -1 20 1 1 -1
36 end 1 0 -1 1 -1
