№ DirsSet Sift DirNum Stack Error EndState
1 type -1 2 -1 1 -1
2 type 1 3 -1 1 -1
3 a,b,c -1 5 1 1 -1
4 # -1 0 -1 1 1
5 a,b,c -1 6 -1 1 -1
6 a,b,c -1 21 1 1 -1
7 = 1 8 -1 1 -1
8 int,record -1 10 1 1 -1
9 #,; -1 27 -1 1 -1
10 int -1 12 -1 -1 -1
11 record -1 13 -1 1 -1
12 int 1 0 -1 1 -1
13 record 1 14 -1 1 -1
14 a,b,c -1 16 1 1 -1
15 end 1 0 -1 1 -1
16 a,b,c -1 17 -1 1 -1
17 a,b,c -1 21 1 1 -1
18 : 1 19 -1 1 -1
19 int,record -1 10 1 1 -1
20 end,; -1 32 -1 1 -1
21 a -1 24 -1 -1 -1
22 b -1 25 -1 -1 -1
23 c -1 26 -1 1 -1
24 a 1 0 -1 1 -1
25 b 1 0 -1 1 -1
26 c 1 0 -1 1 -1
27 # -1 29 -1 -1 1
28 ; -1 30 -1 1 -1
29 # -1 0 -1 1 1
30 ; 1 31 -1 1 -1
31 a,b,c -1 5 -1 1 -1
32 end -1 34 -1 -1 -1
33 ; -1 35 -1 1 -1
34 end -1 0 -1 1 -1
35 ; 1 36 -1 1 -1
36 a,b,c -1 16 -1 1 -1
